year,month,crop_type,soil_type,region,season,rainfall_mm,farmer_land_size_acres,pest_pressure,soil_fertility,crop_stage,previous_input_usage
2016,1,Rice,Black,Tamil Nadu,Kharif,1675.01,11.08,Low,Medium,Growth,Urea
2021,12,Rice,Alluvial,Madhya Pradesh,Kharif,983.79,12.64,Low,Low,Growth,Urea
2021,6,Rice,Laterite,Rajasthan,Kharif,1239.69,2.06,Low,Medium,Growth,Urea
2018,1,Rice,Red,Telangana,Kharif,856.79,11.13,Medium,High,Growth,Urea
2020,5,Rice,Black,Andhra Pradesh,Kharif,1134.66,13.19,Low,High,Growth,Urea
2016,1,Rice,Alluvial,Karnataka,Kharif,965.69,14.54,Medium,Low,Growth,Urea
2019,1,Rice,Black,Kerala,Kharif,1721.07,13.75,High,Low,Growth,Urea
2021,8,Rice,Red,Bihar,Kharif,1790.07,5.78,High,Low,Growth,Urea
2016,6,Rice,Black,Uttar Pradesh,Kharif,1983.29,4.7,Low,Medium,Growth,Urea
2017,11,Rice,Black,Jharkhand,Kharif,922.88,0.57,Low,High,Growth,Urea
2018,4,Rice,Alluvial,Madhya Pradesh,Kharif,1911.04,18.98,High,Low,Growth,Urea
2016,5,Rice,Sandy,Uttar Pradesh,Kharif,1238.51,5.06,Low,High,Growth,Urea
2019,5,Rice,Black,Maharashtra,Kharif,1123.41,11.01,Medium,High,Growth,Urea
2021,3,Rice,Red,Punjab,Kharif,1550.6,15.53,Low,High,Growth,Urea
2016,8,Rice,Alluvial,Uttar Pradesh,Kharif,1862.68,12.93,Medium,High,Growth,Urea
2017,3,Rice,Black,Gujarat,Kharif,1813.23,12.11,High,Low,Growth,Urea
2025,3,Rice,Laterite,Madhya Pradesh,Kharif,816.12,15.7,Medium,Medium,Growth,Urea
2020,3,Rice,Sandy,Maharashtra,Kharif,1777.79,12.46,High,Medium,Growth,Urea
2018,12,Rice,Red,Uttar Pradesh,Kharif,1594.49,13.35,Medium,Low,Growth,Urea
2019,3,Rice,Black,Telangana,Kharif,1910.44,17.12,Low,High,Growth,Urea
2022,1,Rice,Red,Bihar,Kharif,1697.8,18.51,Medium,Low,Growth,Urea
2025,10,Rice,Sandy,Punjab,Kharif,1281.65,3.45,High,High,Growth,Urea
2020,3,Rice,Sandy,Gujarat,Kharif,1248.78,16.76,Medium,Low,Growth,Urea
2024,8,Rice,Red,Maharashtra,Kharif,1991.89,10.21,High,Medium,Growth,Urea
2024,2,Rice,Alluvial,Odisha,Kharif,926.12,2.27,High,Medium,Growth,Urea
2020,5,Rice,Alluvial,Madhya Pradesh,Kharif,1024.72,12.67,Medium,Medium,Growth,Urea
2025,6,Rice,Black,Kerala,Kharif,1478.12,19.42,Medium,Medium,Growth,Urea
2021,6,Rice,Alluvial,Andhra Pradesh,Kharif,1080.11,11.23,Low,Medium,Growth,Urea
2017,3,Rice,Black,Chhattisgarh,Kharif,1826.53,6.56,High,Medium,Growth,Urea
2023,11,Rice,Laterite,Madhya Pradesh,Kharif,1877.06,7.14,High,Medium,Growth,Urea
2019,8,Rice,Red,Telangana,Kharif,1710.13,10.04,Low,High,Growth,Urea
2016,2,Rice,Laterite,Chhattisgarh,Kharif,1964.12,13.16,High,Low,Growth,Urea
2019,2,Rice,Red,Andhra Pradesh,Kharif,1216.57,6.38,Medium,Medium,Growth,Urea
2025,12,Rice,Sandy,Kerala,Kharif,1718.48,6.03,High,Low,Growth,Urea
2020,10,Rice,Alluvial,Telangana,Kharif,1361.5,8.78,High,High,Growth,Urea
2016,1,Rice,Sandy,Telangana,Kharif,1620.56,5.51,Low,High,Growth,Urea
2021,7,Rice,Laterite,Tamil Nadu,Kharif,1452.67,3.12,Medium,Low,Growth,Urea
2019,4,Rice,Laterite,Maharashtra,Kharif,1913.41,13.61,Medium,High,Growth,Urea
2020,5,Rice,Sandy,Rajasthan,Kharif,1401.14,1.44,Medium,High,Growth,Urea
2023,3,Rice,Red,Jharkhand,Kharif,1859.42,19.25,Low,Medium,Growth,Urea
2025,11,Rice,Alluvial,Madhya Pradesh,Kharif,1438.8,9.66,Low,High,Growth,Urea
2025,3,Rice,Sandy,Gujarat,Kharif,1062.82,1.64,Low,Medium,Growth,Urea
2017,10,Rice,Laterite,Jharkhand,Kharif,1360.97,8.09,Medium,Medium,Growth,Urea
2018,6,Rice,Black,Kerala,Kharif,1962.22,7.86,Medium,Medium,Growth,Urea
2019,1,Rice,Black,Rajasthan,Kharif,846.16,8.73,High,Medium,Growth,Urea
2018,8,Rice,Sandy,Odisha,Kharif,1270.23,14.02,Medium,High,Growth,Urea
2021,8,Rice,Red,Odisha,Kharif,1055.35,15.39,Medium,Low,Growth,Urea
2017,1,Rice,Sandy,Punjab,Kharif,1328.57,16.45,Low,Low,Growth,Urea
2017,5,Rice,Alluvial,Karnataka,Kharif,1864.33,3.87,High,Medium,Growth,Urea
2024,11,Rice,Alluvial,Punjab,Kharif,999.4,16.52,Medium,Low,Growth,Urea
2024,10,Rice,Black,Madhya Pradesh,Kharif,1309.12,12.2,High,High,Growth,Urea
2024,7,Rice,Alluvial,West Bengal,Kharif,854.08,1.35,Medium,High,Growth,Urea
2024,3,Rice,Laterite,Bihar,Kharif,873.36,9.04,Low,Low,Growth,Urea
2024,5,Rice,Red,Kerala,Kharif,1265.19,10.93,High,Low,Growth,Urea
2018,10,Rice,Sandy,Uttar Pradesh,Kharif,1893.57,4.18,High,High,Growth,Urea
2024,7,Rice,Red,Haryana,Kharif,1984.32,9.08,Low,High,Growth,Urea
2018,1,Rice,Sandy,Uttar Pradesh,Kharif,943.04,14.23,Medium,Medium,Growth,Urea
2017,7,Rice,Red,Assam,Kharif,1717.25,4.25,Medium,Low,Growth,Urea
2022,8,Rice,Red,Maharashtra,Kharif,1881.45,0.58,Low,High,Growth,Urea
2023,2,Rice,Black,Odisha,Kharif,829.0,5.78,High,Low,Growth,Urea
2020,1,Rice,Black,Haryana,Kharif,959.03,15.12,High,Low,Growth,Urea
2020,8,Rice,Laterite,Chhattisgarh,Kharif,1707.04,19.21,High,High,Growth,Urea
2018,2,Rice,Sandy,Punjab,Kharif,1983.09,6.29,Medium,Low,Growth,Urea
2016,4,Rice,Laterite,Rajasthan,Kharif,1107.64,18.86,Medium,Medium,Growth,Urea
2024,1,Rice,Sandy,Haryana,Kharif,1963.47,12.44,Low,Low,Growth,Urea
2022,4,Rice,Laterite,Kerala,Kharif,1498.13,5.43,High,High,Growth,Urea
2025,9,Rice,Alluvial,Jharkhand,Kharif,1447.82,4.14,Medium,Low,Growth,Urea
2024,9,Rice,Black,Karnataka,Kharif,1579.36,17.33,Medium,High,Growth,Urea
2022,7,Rice,Laterite,Uttar Pradesh,Kharif,1792.09,7.82,Medium,Low,Growth,Urea
2024,9,Rice,Red,Punjab,Kharif,1896.14,2.25,High,Low,Growth,Urea
2022,10,Rice,Black,Rajasthan,Kharif,1109.3,13.75,Medium,Medium,Growth,Urea
2021,3,Rice,Laterite,Chhattisgarh,Kharif,1849.11,10.06,High,Medium,Growth,Urea
2016,7,Rice,Red,Maharashtra,Kharif,1257.7,5.35,Medium,High,Growth,Urea
2023,7,Rice,Laterite,Karnataka,Kharif,1499.34,1.11,Medium,Medium,Growth,Urea
2018,9,Rice,Red,Chhattisgarh,Kharif,1341.75,16.91,Medium,Medium,Growth,Urea
2016,10,Rice,Red,Maharashtra,Kharif,818.94,4.13,Low,Low,Growth,Urea
2018,4,Rice,Black,Haryana,Kharif,1341.26,16.5,Medium,Low,Growth,Urea
2017,10,Rice,Black,Madhya Pradesh,Kharif,1962.1,5.58,Low,High,Growth,Urea
2025,10,Rice,Laterite,Odisha,Kharif,1525.78,18.12,High,High,Growth,Urea
2022,1,Rice,Red,Telangana,Kharif,1282.87,6.28,High,High,Growth,Urea
2019,12,Rice,Laterite,Maharashtra,Kharif,1306.13,12.36,Low,High,Growth,Urea
2021,2,Rice,Black,Karnataka,Kharif,831.37,18.54,High,Medium,Growth,Urea
2020,9,Rice,Black,Jharkhand,Kharif,1650.49,15.92,High,Low,Growth,Urea
2019,1,Rice,Sandy,Tamil Nadu,Kharif,1759.1,8.34,Low,High,Growth,Urea
2022,4,Rice,Alluvial,Karnataka,Kharif,1750.57,11.3,Medium,High,Growth,Urea
2017,8,Rice,Black,West Bengal,Kharif,939.89,13.05,Medium,High,Growth,Urea
2018,6,Rice,Black,Haryana,Kharif,1889.6,11.8,Medium,Low,Growth,Urea
2020,7,Rice,Alluvial,Haryana,Kharif,1906.09,10.67,High,Medium,Growth,Urea
2016,10,Rice,Alluvial,Assam,Kharif,1518.3,11.21,High,Medium,Growth,Urea
2016,3,Rice,Alluvial,Jharkhand,Kharif,1959.83,12.83,High,High,Growth,Urea
2021,4,Rice,Alluvial,Bihar,Kharif,1798.94,8.38,Low,Low,Growth,Urea
2020,11,Rice,Red,Haryana,Kharif,1816.37,16.51,High,Low,Growth,Urea
2023,7,Rice,Laterite,West Bengal,Kharif,1764.45,6.21,Low,Low,Growth,Urea
2017,5,Rice,Alluvial,Madhya Pradesh,Kharif,1116.84,15.8,Medium,Medium,Growth,Urea
2018,7,Rice,Laterite,Telangana,Kharif,1320.08,2.27,Medium,High,Growth,Urea
2024,5,Rice,Laterite,West Bengal,Kharif,1272.19,3.03,Low,Low,Growth,Urea
2018,6,Rice,Sandy,Karnataka,Kharif,1765.25,5.97,High,High,Growth,Urea
2020,10,Rice,Black,Odisha,Kharif,1330.36,18.39,High,Medium,Growth,Urea
2023,3,Rice,Alluvial,Punjab,Kharif,828.1,5.73,High,Medium,Growth,Urea
2020,8,Rice,Laterite,Telangana,Kharif,1484.26,7.84,Medium,Medium,Growth,Urea
2024,11,Rice,Red,Karnataka,Kharif,1269.18,5.43,High,High,Growth,Urea
2017,8,Rice,Alluvial,Chhattisgarh,Kharif,1993.07,16.5,Low,Low,Growth,Urea
2023,10,Rice,Red,Rajasthan,Kharif,960.41,17.74,Medium,High,Growth,Urea
2021,8,Rice,Laterite,Tamil Nadu,Kharif,1835.35,17.7,Medium,High,Growth,Urea
2017,10,Rice,Alluvial,Punjab,Kharif,1009.21,4.99,Low,High,Growth,Urea
2016,4,Rice,Black,Gujarat,Kharif,1286.08,5.61,High,Low,Growth,Urea
2018,9,Rice,Red,Rajasthan,Kharif,961.16,6.52,Medium,Medium,Growth,Urea
2016,9,Rice,Black,Haryana,Kharif,1369.84,3.4,Low,Low,Growth,Urea
2022,9,Rice,Alluvial,Bihar,Kharif,1953.52,15.16,Medium,High,Growth,Urea
2024,9,Rice,Black,Telangana,Kharif,1022.03,4.49,High,Medium,Growth,Urea
2019,2,Rice,Sandy,Bihar,Kharif,1067.59,2.17,Low,Medium,Growth,Urea
2019,6,Rice,Sandy,Kerala,Kharif,1161.45,15.39,Low,High,Growth,Urea
2016,11,Rice,Black,Jharkhand,Kharif,817.42,9.5,Low,Low,Growth,Urea
2023,7,Rice,Black,Uttar Pradesh,Kharif,1019.59,4.6,Low,Low,Growth,Urea
2022,8,Rice,Laterite,Madhya Pradesh,Kharif,1491.28,13.99,Low,Medium,Growth,Urea
2025,6,Rice,Alluvial,Chhattisgarh,Kharif,1101.35,9.28,Medium,Low,Growth,Urea
2021,5,Rice,Black,Telangana,Kharif,1417.89,17.12,Low,Low,Growth,Urea
2023,6,Rice,Alluvial,Kerala,Kharif,1271.79,9.03,Medium,Low,Growth,Urea
2025,5,Rice,Laterite,West Bengal,Kharif,1421.61,19.57,Low,High,Growth,Urea
2022,3,Rice,Sandy,Madhya Pradesh,Kharif,1958.58,9.8,Low,Low,Growth,Urea
2019,8,Rice,Black,Andhra Pradesh,Kharif,979.15,19.32,Medium,Low,Growth,Urea
2016,9,Rice,Sandy,Jharkhand,Kharif,1351.25,3.26,High,High,Growth,Urea
2018,11,Rice,Sandy,Telangana,Kharif,1572.8,11.92,Low,Medium,Growth,Urea
2025,6,Rice,Alluvial,Odisha,Kharif,1729.68,7.6,Low,Medium,Growth,Urea
2020,2,Rice,Black,Jharkhand,Kharif,1332.19,2.34,Medium,Low,Growth,Urea
2019,6,Rice,Red,Kerala,Kharif,1547.53,17.04,High,High,Growth,Urea
2017,12,Rice,Red,Maharashtra,Kharif,1554.17,12.72,Low,Low,Growth,Urea
2019,7,Rice,Black,Uttar Pradesh,Kharif,1413.68,3.94,Low,Low,Growth,Urea
2020,5,Rice,Red,Tamil Nadu,Kharif,1291.76,15.81,Low,High,Growth,Urea
2022,3,Rice,Alluvial,Maharashtra,Kharif,921.67,3.55,High,Medium,Growth,Urea
2022,3,Rice,Red,Telangana,Kharif,1598.46,18.89,Low,Low,Growth,Urea
2020,5,Rice,Alluvial,West Bengal,Kharif,829.09,1.02,Medium,Low,Growth,Urea
2021,1,Rice,Sandy,Odisha,Kharif,1538.8,12.41,Medium,High,Growth,Urea
2021,6,Rice,Sandy,Odisha,Kharif,1056.14,12.19,High,High,Growth,Urea
2023,6,Rice,Alluvial,Tamil Nadu,Kharif,1531.47,10.02,High,High,Growth,Urea
2017,5,Rice,Laterite,Maharashtra,Kharif,1365.34,12.34,Medium,Medium,Growth,Urea
2024,11,Rice,Alluvial,Telangana,Kharif,1315.37,19.8,Medium,Low,Growth,Urea
